system:index,NDBI,NDVI,lat,lon,station,year_month,.geo
0_0,0.03351694718003273,0.0464700348675251,24.9056,67.0822,Gulshan-e-Iqbal,2019-01,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
0_1,0.08857252448797226,0.059014007449150085,24.856,67.01,Saddar,2019-01,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
0_2,0.09912194311618805,0.05516491085290909,24.94,66.98,SITE_Industrial,2019-01,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
0_3,-0.010726643726229668,0.21325471997261047,24.82,67.03,Korangi_Industrial,2019-01,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
0_4,0.135854572057724,0.12581941485404968,24.98,67.12,North_Nazimabad,2019-01,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
0_5,0.08902306854724884,0.1968703716993332,24.89,67.13,Gulistan_Jauhar,2019-01,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
0_6,-0.025879044085741043,-0.15297570824623108,24.81,66.99,Landhi,2019-01,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
0_7,0.09684839844703674,0.04345165193080902,24.92,67.05,Federal_B_Area,2019-01,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
1_0,0.030849343165755272,0.051176518201828,24.9056,67.0822,Gulshan-e-Iqbal,2019-02,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
1_1,0.08413300663232803,0.07167070358991623,24.856,67.01,Saddar,2019-02,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
1_2,0.0677628144621849,0.05525422841310501,24.94,66.98,SITE_Industrial,2019-02,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
1_3,-0.003937007859349251,0.20893141627311707,24.82,67.03,Korangi_Industrial,2019-02,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
1_4,0.12862566113471985,0.11144521832466125,24.98,67.12,North_Nazimabad,2019-02,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
1_5,0.0577169731259346,0.24262356758117676,24.89,67.13,Gulistan_Jauhar,2019-02,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
1_6,0.19443315267562866,-0.15811532735824585,24.81,66.99,Landhi,2019-02,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
1_7,0.09348034858703613,0.058357540518045425,24.92,67.05,Federal_B_Area,2019-02,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
2_0,0.04130818322300911,0.04083750396966934,24.9056,67.0822,Gulshan-e-Iqbal,2019-03,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
2_1,0.09296131879091263,0.06150157377123833,24.856,67.01,Saddar,2019-03,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
2_2,0.08908648788928986,0.04935206100344658,24.94,66.98,SITE_Industrial,2019-03,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
2_3,0.002294768812134862,0.18586556613445282,24.82,67.03,Korangi_Industrial,2019-03,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
2_4,0.1499231904745102,0.11154408007860184,24.98,67.12,North_Nazimabad,2019-03,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
2_5,0.09118396788835526,0.1557038575410843,24.89,67.13,Gulistan_Jauhar,2019-03,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
2_6,0.186405211687088,-0.0497564934194088,24.81,66.99,Landhi,2019-03,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
2_7,0.09458108246326447,0.05318138748407364,24.92,67.05,Federal_B_Area,2019-03,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
3_0,0.052463795989751816,0.034811802208423615,24.9056,67.0822,Gulshan-e-Iqbal,2019-04,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
3_1,0.0985981673002243,0.0534205436706543,24.856,67.01,Saddar,2019-04,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
3_2,0.10063779354095459,0.035262156277894974,24.94,66.98,SITE_Industrial,2019-04,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
3_3,0.02134009823203087,0.2027748078107834,24.82,67.03,Korangi_Industrial,2019-04,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
3_4,0.1683090180158615,0.10543278604745865,24.98,67.12,North_Nazimabad,2019-04,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
3_5,0.10950618237257004,0.131382018327713,24.89,67.13,Gulistan_Jauhar,2019-04,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
3_6,0.06848887354135513,-0.009519224055111408,24.81,66.99,Landhi,2019-04,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
3_7,0.09725718945264816,0.04485228657722473,24.92,67.05,Federal_B_Area,2019-04,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
4_0,0.05523643270134926,0.02930235117673874,24.9056,67.0822,Gulshan-e-Iqbal,2019-05,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
4_1,0.09102793037891388,0.041804440319538116,24.856,67.01,Saddar,2019-05,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
4_2,0.1037735864520073,0.03118758648633957,24.94,66.98,SITE_Industrial,2019-05,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
4_3,0.03887418285012245,0.17046600580215454,24.82,67.03,Korangi_Industrial,2019-05,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
4_4,0.16411378979682922,0.08987440913915634,24.98,67.12,North_Nazimabad,2019-05,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
4_5,0.11207446455955505,0.12011260539293289,24.89,67.13,Gulistan_Jauhar,2019-05,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
4_6,0.05816135182976723,-0.049455154687166214,24.81,66.99,Landhi,2019-05,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
4_7,0.09003084897994995,0.04091162234544754,24.92,67.05,Federal_B_Area,2019-05,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
5_0,0.05793803557753563,0.029378099367022514,24.9056,67.0822,Gulshan-e-Iqbal,2019-06,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
5_1,0.09604769200086594,0.03303036838769913,24.856,67.01,Saddar,2019-06,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
5_2,0.10954179614782333,0.026971662417054176,24.94,66.98,SITE_Industrial,2019-06,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
5_3,0.039874233305454254,0.16491638123989105,24.82,67.03,Korangi_Industrial,2019-06,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
5_4,0.1600889414548874,0.090581014752388,24.98,67.12,North_Nazimabad,2019-06,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
5_5,0.12872685492038727,0.1109909936785698,24.89,67.13,Gulistan_Jauhar,2019-06,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
5_6,0.03223586827516556,-0.08126132935285568,24.81,66.99,Landhi,2019-06,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
5_7,0.0970921665430069,0.04137808457016945,24.92,67.05,Federal_B_Area,2019-06,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
6_0,0.06153807416558266,0.006785688456147909,24.9056,67.0822,Gulshan-e-Iqbal,2019-07,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
6_1,0.10516554862260818,0.018887551501393318,24.856,67.01,Saddar,2019-07,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
6_2,0.0981876328587532,0.015558652579784393,24.94,66.98,SITE_Industrial,2019-07,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
6_3,0.04041416198015213,0.17313188314437866,24.82,67.03,Korangi_Industrial,2019-07,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
6_4,0.1662728488445282,0.07710385322570801,24.98,67.12,North_Nazimabad,2019-07,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
6_5,0.109931580722332,0.1169874295592308,24.89,67.13,Gulistan_Jauhar,2019-07,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
6_6,0.01749781332910061,-0.061611372977495193,24.81,66.99,Landhi,2019-07,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
6_7,0.11492890864610672,0.031753335148096085,24.92,67.05,Federal_B_Area,2019-07,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
7_0,,,24.9056,67.0822,Gulshan-e-Iqbal,2019-08,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
7_1,0.095085509121418,0.029857592657208443,24.856,67.01,Saddar,2019-08,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
7_2,,,24.94,66.98,SITE_Industrial,2019-08,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
7_3,-0.028036659583449364,0.2490456998348236,24.82,67.03,Korangi_Industrial,2019-08,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
7_4,,,24.98,67.12,North_Nazimabad,2019-08,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
7_5,,,24.89,67.13,Gulistan_Jauhar,2019-08,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
7_6,0.01583179086446762,-0.07671380788087845,24.81,66.99,Landhi,2019-08,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
7_7,,,24.92,67.05,Federal_B_Area,2019-08,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
8_0,0.08282733708620071,0.026702169328927994,24.9056,67.0822,Gulshan-e-Iqbal,2019-09,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
8_1,0.11950541287660599,0.03973987326025963,24.856,67.01,Saddar,2019-09,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
8_2,0.10418727248907089,0.02895793691277504,24.94,66.98,SITE_Industrial,2019-09,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
8_3,-4.809146048501134E-4,0.20867900550365448,24.82,67.03,Korangi_Industrial,2019-09,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
8_4,0.12362301349639893,0.11424694955348969,24.98,67.12,North_Nazimabad,2019-09,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
8_5,-0.0137894656509161,0.33923521637916565,24.89,67.13,Gulistan_Jauhar,2019-09,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
8_6,0.009079428389668465,-0.10003205388784409,24.81,66.99,Landhi,2019-09,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
8_7,0.11071247607469559,0.028727911412715912,24.92,67.05,Federal_B_Area,2019-09,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
9_0,0.05948609486222267,0.02526518888771534,24.9056,67.0822,Gulshan-e-Iqbal,2019-10,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
9_1,0.1207573339343071,0.049945712089538574,24.856,67.01,Saddar,2019-10,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
9_2,0.10824936628341675,0.04277173429727554,24.94,66.98,SITE_Industrial,2019-10,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
9_3,-0.02733495831489563,0.27699634432792664,24.82,67.03,Korangi_Industrial,2019-10,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
9_4,0.1611739695072174,0.15962035953998566,24.98,67.12,North_Nazimabad,2019-10,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
9_5,0.10019512474536896,0.19709043204784393,24.89,67.13,Gulistan_Jauhar,2019-10,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
9_6,0.2684723138809204,-0.15518251061439514,24.81,66.99,Landhi,2019-10,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
9_7,0.10857793688774109,0.04213162139058113,24.92,67.05,Federal_B_Area,2019-10,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
10_0,0.04482053220272064,0.03986397013068199,24.9056,67.0822,Gulshan-e-Iqbal,2019-11,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
10_1,0.10248986631631851,0.03887399286031723,24.856,67.01,Saddar,2019-11,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
10_2,0.08994307368993759,0.042686399072408676,24.94,66.98,SITE_Industrial,2019-11,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
10_3,-0.026170553639531136,0.2834610044956207,24.82,67.03,Korangi_Industrial,2019-11,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
10_4,0.11159517616033554,0.1320510059595108,24.98,67.12,North_Nazimabad,2019-11,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
10_5,0.1254001408815384,0.20408163964748383,24.89,67.13,Gulistan_Jauhar,2019-11,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
10_6,0.2142857164144516,-0.33182844519615173,24.81,66.99,Landhi,2019-11,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
10_7,0.09369676560163498,0.04186569154262543,24.92,67.05,Federal_B_Area,2019-11,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
11_0,0.03707589954137802,0.048755817115306854,24.9056,67.0822,Gulshan-e-Iqbal,2019-12,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
11_1,0.10305306315422058,0.052195560187101364,24.856,67.01,Saddar,2019-12,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
11_2,0.08879914879798889,0.04791611433029175,24.94,66.98,SITE_Industrial,2019-12,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
11_3,-0.030818680301308632,0.2939646244049072,24.82,67.03,Korangi_Industrial,2019-12,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
11_4,0.09208770096302032,0.1288318932056427,24.98,67.12,North_Nazimabad,2019-12,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
11_5,0.11050642281770706,0.21221864223480225,24.89,67.13,Gulistan_Jauhar,2019-12,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
11_6,0.02076876349747181,-0.18355880677700043,24.81,66.99,Landhi,2019-12,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
11_7,0.12615567445755005,0.05577072128653526,24.92,67.05,Federal_B_Area,2019-12,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
12_0,0.019677571952342987,0.04956914484500885,24.9056,67.0822,Gulshan-e-Iqbal,2020-01,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
12_1,0.09647895395755768,0.06628160923719406,24.856,67.01,Saddar,2020-01,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
12_2,0.08495079725980759,0.06408268213272095,24.94,66.98,SITE_Industrial,2020-01,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
12_3,-0.028520498424768448,0.2560538053512573,24.82,67.03,Korangi_Industrial,2020-01,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
12_4,0.09443178027868271,0.10885167121887207,24.98,67.12,North_Nazimabad,2020-01,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
12_5,0.09713198989629745,0.21121898293495178,24.89,67.13,Gulistan_Jauhar,2020-01,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
12_6,0.15243762731552124,-0.17719833552837372,24.81,66.99,Landhi,2020-01,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
12_7,0.11566264927387238,0.04976019263267517,24.92,67.05,Federal_B_Area,2020-01,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
13_0,0.02854393795132637,0.04282115772366524,24.9056,67.0822,Gulshan-e-Iqbal,2020-02,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
13_1,0.09695681184530258,0.07558184862136841,24.856,67.01,Saddar,2020-02,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
13_2,0.0923398956656456,0.05293593555688858,24.94,66.98,SITE_Industrial,2020-02,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
13_3,-0.011950654909014702,0.2352800965309143,24.82,67.03,Korangi_Industrial,2020-02,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
13_4,0.10698270052671432,0.11316582560539246,24.98,67.12,North_Nazimabad,2020-02,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
13_5,0.06846733391284943,0.23304203152656555,24.89,67.13,Gulistan_Jauhar,2020-02,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
13_6,0.03894321620464325,-0.12872004508972168,24.81,66.99,Landhi,2020-02,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
13_7,0.12362701445817947,0.05653604492545128,24.92,67.05,Federal_B_Area,2020-02,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
14_0,0.02752644754946232,0.05090978369116783,24.9056,67.0822,Gulshan-e-Iqbal,2020-03,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
14_1,0.08945488929748535,0.06101679429411888,24.856,67.01,Saddar,2020-03,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
14_2,0.0864986851811409,0.048561565577983856,24.94,66.98,SITE_Industrial,2020-03,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
14_3,0.01274117175489664,0.2042628824710846,24.82,67.03,Korangi_Industrial,2020-03,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
14_4,0.12028941512107849,0.11436010152101517,24.98,67.12,North_Nazimabad,2020-03,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
14_5,0.05374400317668915,0.22288407385349274,24.89,67.13,Gulistan_Jauhar,2020-03,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
14_6,0.10950472950935364,-0.08357822149991989,24.81,66.99,Landhi,2020-03,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
14_7,0.09745009243488312,0.054180603474378586,24.92,67.05,Federal_B_Area,2020-03,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
15_0,0.04827813431620598,0.029078157618641853,24.9056,67.0822,Gulshan-e-Iqbal,2020-04,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
15_1,0.09866063296794891,0.04538152739405632,24.856,67.01,Saddar,2020-04,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
15_2,0.11234315484762192,0.03768530115485191,24.94,66.98,SITE_Industrial,2020-04,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
15_3,0.03300222381949425,0.17750442028045654,24.82,67.03,Korangi_Industrial,2020-04,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
15_4,0.13295507431030273,0.1091800332069397,24.98,67.12,North_Nazimabad,2020-04,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
15_5,0.10103198140859604,0.17969349026679993,24.89,67.13,Gulistan_Jauhar,2020-04,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
15_6,0.06563985347747803,-0.016862448304891586,24.81,66.99,Landhi,2020-04,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
15_7,0.09770429134368896,0.041634418070316315,24.92,67.05,Federal_B_Area,2020-04,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
16_0,0.0436117947101593,0.02670401521027088,24.9056,67.0822,Gulshan-e-Iqbal,2020-05,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
16_1,0.09734868258237839,0.04034764692187309,24.856,67.01,Saddar,2020-05,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
16_2,0.10177440941333771,0.026216071099042892,24.94,66.98,SITE_Industrial,2020-05,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
16_3,0.022295081987977028,0.2041025608778,24.82,67.03,Korangi_Industrial,2020-05,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
16_4,0.14133770763874054,0.09434474259614944,24.98,67.12,North_Nazimabad,2020-05,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
16_5,0.09262759983539581,0.16867469251155853,24.89,67.13,Gulistan_Jauhar,2020-05,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
16_6,0.11528321355581284,-0.04090462625026703,24.81,66.99,Landhi,2020-05,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
16_7,0.09213989973068237,0.0431576669216156,24.92,67.05,Federal_B_Area,2020-05,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
17_0,0.06816030293703079,0.01933034136891365,24.9056,67.0822,Gulshan-e-Iqbal,2020-06,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
17_1,0.09861248731613159,0.018635855987668037,24.856,67.01,Saddar,2020-06,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
17_2,0.1087450236082077,0.016701381653547287,24.94,66.98,SITE_Industrial,2020-06,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
17_3,0.02975853718817234,0.18746401369571686,24.82,67.03,Korangi_Industrial,2020-06,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
17_4,0.14204765856266022,0.0795564278960228,24.98,67.12,North_Nazimabad,2020-06,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
17_5,0.10245241224765778,0.130712628364563,24.89,67.13,Gulistan_Jauhar,2020-06,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
17_6,0.029994916170835495,-0.07108081877231598,24.81,66.99,Landhi,2020-06,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
17_7,0.11128344386816025,0.031135177239775658,24.92,67.05,Federal_B_Area,2020-06,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
18_0,0.07538627088069916,0.014213062822818756,24.9056,67.0822,Gulshan-e-Iqbal,2020-07,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
18_1,0.1519790142774582,0.018318966031074524,24.856,67.01,Saddar,2020-07,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
18_2,0.14162810146808624,0.009157704189419746,24.94,66.98,SITE_Industrial,2020-07,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
18_3,0.034063670784235,0.17838680744171143,24.82,67.03,Korangi_Industrial,2020-07,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
18_4,0.14365653693675995,0.05350302532315254,24.98,67.12,North_Nazimabad,2020-07,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
18_5,0.09866978228092194,0.1109909936785698,24.89,67.13,Gulistan_Jauhar,2020-07,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
18_6,,,24.81,66.99,Landhi,2020-07,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
18_7,0.1254304051399231,0.0320250429213047,24.92,67.05,Federal_B_Area,2020-07,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
19_0,0.03372710198163986,0.043832071125507355,24.9056,67.0822,Gulshan-e-Iqbal,2020-08,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
19_1,,,24.856,67.01,Saddar,2020-08,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
19_2,,,24.94,66.98,SITE_Industrial,2020-08,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
19_3,,,24.82,67.03,Korangi_Industrial,2020-08,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
19_4,0.21362458169460297,0.08533469587564468,24.98,67.12,North_Nazimabad,2020-08,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
19_5,,,24.89,67.13,Gulistan_Jauhar,2020-08,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
19_6,-0.03583521023392677,-0.12558619678020477,24.81,66.99,Landhi,2020-08,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
